,Feature Addition XGBRegressor
f_231,0.0
f_165,0.001010278860727909
f_212,8.837381998694216e-05
f_174,0.0011404355367024
f_225,0.001405199368794685
f_250,0.00031336148579907963
f_146,-0.00019373496373498167
f_16,-0.0003544290860494348
f_25,0.0003362298011779785
f_78,0.0004898508389790113
f_179,0.0005678733189899976
f_153,0.0010361075401306152
f_41,0.0011164546012878418
f_92,-0.00021823247273766722
f_118,0.00039090712865186283
f_21,0.00015596548716223513
f_232,-0.00043272972106933594
f_221,-0.0008611480394999926
f_58,0.0006586511929829175
f_299,-0.00031604369481408323
f_278,0.00017044941584265505
f_198,-0.0005794366200765344
f_65,0.00023176272710156987
f_168,0.0020922025044758374
f_196,-0.0006679097811381762
f_150,0.00038216511408484255
f_243,0.0010082125663757324
f_178,-0.0007271369298299524
f_71,0.0006768504778543738
f_297,-0.0002978642781575891
f_204,0.0001842975616455078
f_208,-5.861123402917112e-05
f_214,0.0008747180302937085
f_247,0.00018912553787231445
f_173,-0.00021626551946007933
f_93,-0.0005658864974975586
f_94,-0.0005307197570800781
f_283,-0.0014080603917440149
f_162,6.471077601111208e-05
f_184,-0.00031820933024095943
f_144,-0.0008232593536376953
f_292,-0.0008305509885152551
f_155,0.0007474819819132117
f_176,4.464387893676758e-05
f_240,0.00046437978744506836
f_181,-0.0004864931106567383
time_id,0.0016643802324930457
f_119,-0.00016361474990844727
f_190,-2.7418136596679688e-05
f_257,-0.00022212664286302974
f_77,-0.0002826849619548266
f_59,0.00021622578303015505
f_125,-0.0009376406669616699
f_130,-0.0008778770764669153
f_34,-0.0004073182741801684
f_268,9.258588155036662e-06
f_183,4.812081654859135e-05
f_142,0.00036901235580444336
f_15,0.00045667092005408083
f_219,0.0011572639147440222
f_64,-0.0006867448488871997
f_29,-0.0004277229309082031
f_223,-0.0006900827089946215
f_100,0.0008187095324198035
f_234,-0.0004930893580119555
f_295,-0.0002211928367614746
f_248,-0.0008848905563354492
f_122,-0.0006937384605407715
f_19,-0.0007437467575073242
f_74,0.00020802021026611328
f_83,-0.00017140309015917232
f_209,-0.0008563796679179614
f_79,-0.000406642754872677
f_95,-4.371007283565653e-06
f_90,-0.0001019438107808801
f_224,-0.0010291337966918945
f_252,-2.0245711008781697e-05
f_237,0.00014827648798620974
f_213,-0.0008082191149394458
f_106,-0.00021475553512573242
f_62,0.00024213393529248783
f_287,-8.610884348558834e-05
f_207,0.00022584199905395508
f_136,0.0007625222206115723
f_104,0.001419524351755741
f_229,0.002099613348642948
f_108,0.00018082062403357302
f_244,-0.0013077259063720703
f_211,-0.00039945046106981685
f_265,-0.0002714991569519043
f_164,3.818670908606325e-05
f_177,-0.00043406089146935667
f_200,0.00018292665481567383
f_145,0.0010099212328592566
f_269,0.0010614792505899695
f_197,0.001526335875193241
f_286,0.0005235473314920691
f_261,-0.0007085800170898438
f_175,0.00011134147644042969
f_282,-0.0008326172828674316
f_205,-0.0006335179011027758
f_280,0.0011109511057535437
f_187,0.0005320509274799878
f_263,0.0024399360020954663
f_235,-0.0011002024014791223
f_157,-9.47117805480957e-05
f_67,0.0016934474309284742
f_251,-0.0005022287368774414
f_32,-0.00088699658711755
f_188,6.244579950964724e-05
f_53,-0.0006240606307983398
f_281,-0.0009698867797851562
f_161,-0.00018201271692919185
f_255,0.0002028942108154297
f_44,-0.0004521012306213379
f_82,-0.00046588977177941526
f_156,0.0009322166442871094
f_226,-0.00032730897267663206
f_241,0.0010012189547220496
f_61,5.8273474375369894e-05
f_22,0.0025916695594787598
f_152,0.0003326535224914551
f_98,0.00010808308919263432
f_149,-0.000966032346089718
f_171,-0.0009426275889079516
f_133,-0.0004250605901082727
f_87,-0.00041049718856811523
f_274,0.0005519787470499304
f_238,-7.081031799316406e-05
f_120,-4.011392593383789e-05
f_246,0.0009063879648844031
f_271,0.0010652939478555945
f_75,0.0007625818252563477
f_289,0.0003483096758524207
f_112,-0.0009118318557739258
f_193,0.0011252164840698242
f_73,0.001677850882212284
f_84,-0.00047087669372558594
f_66,-4.140535990404537e-05
f_57,-0.0008386572202047082
f_275,0.0009022355079650879
f_169,0.00020239750544226442
f_294,0.0006072918574014929
f_267,-0.00017827749252319336
f_135,-0.00032659371693932737
f_126,-0.0011893908182780688
f_43,-0.0006773869196574633
f_7,0.0011617541313171387
f_242,-0.0005826552708944055
f_102,0.00045017401377356325
f_113,0.0001882513364155347
f_30,-0.0008588631947835657
f_284,-0.0012212196985881274
f_170,-0.0002012451489766809
f_80,-0.0007047454516093676
f_51,8.12609990430424e-06
f_217,-0.00032776594161987305
f_272,-0.0001386404037475586
f_60,-8.728106816613401e-05
f_6,-0.001369476318359375
f_202,-0.0003531773885091516
f_166,-0.0010932485262553637
f_172,0.0007790327072143555
f_285,-0.0010913610458374023
f_33,-0.00028731425603234495
f_233,-0.0003554821014404297
f_5,-0.0010617971420288086
f_14,0.0012237230936685828
f_114,-0.0010279615720113489
f_124,-0.0006564458211263391
f_11,-0.0010979374249776575
f_192,0.0002205967903137207
f_151,-5.205472310387815e-05
f_63,0.0013409852981567383
f_18,-0.0002462466557821008
f_89,-0.000467220942179436
f_139,-0.0005559722582499926
f_264,-0.00017843643824266842
f_81,0.0006738503774006421
f_49,-0.0006261467933654785
f_127,-0.00012433528900146484
f_99,0.00018195311228430544
f_182,-0.0003724495569865649
f_216,-0.00026671091715502193
f_101,-0.0004616181055705493
f_46,-0.0007525285085042688
f_276,-0.0003909866015117114
f_68,-0.0002376238505046313
f_55,-0.0001322627067565918
f_91,-0.0003863175710042688
f_143,-0.00018807252248131956
f_296,-0.0003550847371419641
f_137,3.2762686411502706e-05
f_56,0.0006412665049234656
f_138,0.0014552871386209754
f_147,4.063049952185427e-05
f_132,0.0010200142860412598
f_279,-0.0006593465805053711
f_39,-0.0003156860669454309
f_86,-0.00027052561442064693
f_8,0.00035830338795972416
f_109,-0.0003965298334758227
f_201,-0.0010193983713786547
f_163,0.00010226170221960817
f_160,-0.0004235704739888879
f_121,-0.0004418492317199707
f_239,-0.0008655190467834473
f_199,-0.0005901654561361047
f_35,-0.0008244713147481653
f_288,-0.00010005633036302974
f_26,-0.00015385945638024534
f_107,0.00024580955505371094
f_50,-0.0006322662035624926
f_227,-0.0006351868311564868
f_116,4.659096399939333e-05
f_134,2.9385089874267578e-05
f_210,4.337231318152224e-05
f_228,-0.0006987452507019043
f_36,-0.00013204415639245237
f_298,-0.0010793805122375488
f_128,5.5472056070926534e-05
f_42,-0.0005186001459758227
f_291,0.00035216410954785893
f_203,5.290905634558474e-05
f_52,-0.00010802348454796995
f_245,9.721517562866211e-05
f_69,-0.0009881854057312012
f_45,-0.0007906754811605188
f_115,-0.001172165075937981
f_48,0.0017586549123127515
f_256,-0.0005604426066081469
f_96,-0.0006105701128642504
f_123,-3.826618194580078e-05
f_189,-0.0005852381388347094
f_215,0.0006669163703918457
f_249,1.1960665384891378e-05
f_186,-0.0008357564608256762
f_117,0.0012770493825275953
f_195,-0.0008054574330648157
f_88,-0.000155945618947384
f_270,-0.00010047356287645748
f_54,0.0004179875055948523
f_76,-0.00030074516932177
f_253,-0.001141667366027832
f_185,-0.00019051631291711058
f_37,-0.0012740095456441614
f_23,-0.0008250276247661059
f_194,-0.0008261203765869141
f_12,-0.001006941000620598
f_158,-0.00017841657002770628
f_259,-0.0005819996198018762
f_180,-9.01619593303149e-05
f_206,-0.00026126702626549925
f_159,-1.633167266845703e-05
f_290,-0.0003469387690226977
f_191,-6.0617923736572266e-05
f_230,-0.0004343589146932336
f_218,5.2412350972419475e-05
f_24,-0.001125037670135498
f_105,-0.001163025697072384
f_31,-0.0006295839945476001
f_17,-0.00026692946751916136
f_72,-0.0003562768300374719
f_236,-0.0006011128425598145
f_10,-0.00016498565673828125
f_97,-0.00022621949513756956
f_277,-0.00029532114664720943
f_131,-0.000119169553120968
f_273,-0.0005700190862020227
f_3,0.0006510615348815918
f_220,-0.0009605089823405688
f_85,-0.00010869900385546138
f_40,-0.0004773537317912524
f_110,-0.0008785128593444824
f_27,-1.762310663866451e-05
f_141,-0.001105050245920891
f_260,-0.0010477304458618164
f_28,-0.00021757682164513792
f_154,-5.6107838948604716e-05
f_47,-0.00041413307189941406
f_129,-0.0008974472681682055
f_2,2.682209014892578e-05
f_103,-0.0009905298550924035
f_148,-0.0008117556571960449
f_266,-0.0011809269587199633
f_293,0.0003249645233154297
f_38,-0.0006064971288045617
f_111,-0.001023709774017334
f_70,-0.0007515152295430871
f_167,-0.0006969372431437915
f_20,-0.0014014045397441333
f_13,-0.0007191697756450122
f_140,-0.0006319085756938403
f_4,-0.0006073713302612305
f_222,-0.0011245210965474817
f_9,-0.0009905099868774414
f_262,-0.0006876389185588305
f_0,-0.0008848110834758227
f_258,-0.0012387633323669434
f_1,-0.0008261402448018762
investment_id,-0.0015987952550252649
f_254,-0.0003191828727722168
